Datetime,Hash,Commit Msg,Filename,Removed Test Case,Manual Validation,Final Results,Ajay Manual Validation,Suraj Manual Validation,Ajay Comments,Suraj Comments
06/24/2002 13:03:15,73aea602939e67dca909ac28bd443301fe351952,"added xml report format


git-svn-id: https://pmd.svn.sourceforge.net/svnroot/pmd/trunk@23 51baf565-9d33-0410-a72c-fc3788e3496d",RuleViolationTest.java,testBasic2,no,no,no,no,,
06/25/2002 9:32:31,e0f1a8d7c579c778f3cde99389277863a475c98a,"refactored report generation to consolidate xml vs text rendering


git-svn-id: https://pmd.svn.sourceforge.net/svnroot/pmd/trunk@52 51baf565-9d33-0410-a72c-fc3788e3496d",ReportTest.java,testRender,no,no,no,no,,renamed
06/26/2002 16:05:58,a6df4604393f2fcb573cffc8c3840dbe79ff1c5d,"Added RuleContext, modified rules to support passing in multiple ASTCompilationUnits


git-svn-id: https://pmd.svn.sourceforge.net/svnroot/pmd/trunk@75 51baf565-9d33-0410-a72c-fc3788e3496d",RuleViolationTest.java,testBasic,yes,yes,yes,yes,,commented out
,,,,testGetText,yes,yes,yes,yes,,commented out
,,,,testXML,yes,yes,yes,yes,,commented out
06/28/2002 10:13:50,73b9f6efe33651347441d0f52ec919335b4a37a0,"tests


git-svn-id: https://pmd.svn.sourceforge.net/svnroot/pmd/trunk@108 51baf565-9d33-0410-a72c-fc3788e3496d",RuleViolationTest.java,testStub,conflict,yes,no,yes,,empty test
06/28/2002 12:58:13,213e37f2a4b1ac04c138b01de54b933a45086967,"Began breaking up FunctionalTest


git-svn-id: https://pmd.svn.sourceforge.net/svnroot/pmd/trunk@133 51baf565-9d33-0410-a72c-fc3788e3496d",FunctionalTest.java,testEmptyCatchBlock,yes,yes,yes,yes,,commented out
,,,,testEmptyCatchBlock2,yes,yes,yes,yes,,commented out
,,,,testEmptyCatchBlock3,yes,yes,yes,yes,,commented out
,,,,testUnnecessaryTemporaries,yes,yes,yes,yes,,commented out
,,,,testProps,yes,yes,yes,yes,,commented out
,,,,testSystemIn,yes,yes,yes,yes,,commented out
,,,,testSystemOut,yes,yes,yes,yes,,commented out
,,,,testCreateAThread,yes,yes,yes,yes,,commented out
,,,,testCreateATimer,yes,yes,yes,yes,,commented out
,,,,testEmptyIf,yes,yes,yes,yes,,commented out
,,,,testEmptyWhileStmtRule,yes,yes,yes,yes,,commented out
,,,,testUnusedPrivateInstanceVar1,yes,yes,yes,yes,,commented out
,,,,testUnusedPrivateInstanceVar2,yes,yes,yes,yes,,commented out
